Site Timezone,5.5,Elevation,405,Is Offshore,0,WRF Region,1,,,,
Longitude,76.921875,,,,,,,,,,
Latitude,20.42926025,,,,,,,,,,
Year,Month,Day,Hour,Minute,temperature at 100m (C),wind direction at 100m (deg),wind speed at 100m (m/s),air pressure at 100m (Pa),wind speed at 80m (m/s),temperature at 80m (C),wind direction at 80m (deg)
2014,1,5,13,30,25.06,284.19,3.95,95760,3.92,25.29,284.4
2014,1,5,14,30,25.4,287.05,4.48,95650,4.44,25.64,287.26
2014,1,5,15,30,25.39,298.99,5.14,95580,5.1,25.6,299.12
2014,1,5,16,30,25.13,313.24,6.06,95520,5.96,25.33,313.33
2014,1,5,17,30,24.87,315.69,7.08,95560,6.83,25,315.69
2014,1,5,18,30,24.21,321.93,8.13,95600,7.55,24.2,321.3
2014,1,5,19,30,23.81,336.02,6.93,95610,6.25,23.72,335.71
2014,1,5,20,30,21.96,336.47,5.24,95680,4.47,21.87,332.53
2014,1,5,21,30,21.54,352.02,3.62,95720,2.8,21.49,345.45
2014,1,5,22,30,20.76,347.04,3.51,95730,2.81,20.79,340.09
2014,1,5,23,30,20.32,352.64,3.9,95700,3.21,20.27,345.08
2014,1,6,0,30,20.02,352.4,3.61,95700,2.88,19.89,343.56
2014,1,6,1,30,19.42,321.1,3.13,95730,2.84,19.3,305.52
2014,1,6,2,30,18.92,295.01,4.26,95690,4.44,18.81,286.54
2014,1,6,3,30,18.63,298.67,5.02,95680,5.41,18.5,294.25
2014,1,6,4,30,18.34,306.03,5.35,95690,5.26,18.17,298.76
2014,1,6,5,30,18.01,309.97,5.31,95740,5.02,17.84,302.86
2014,1,6,6,30,17.47,304.36,5.56,95770,5.28,17.2,297.22
2014,1,6,7,30,16.86,306.53,5.61,95820,5.28,16.49,297.93
2014,1,6,8,30,16.71,292.72,2.14,95930,2.04,16.92,289.49
2014,1,6,9,30,18.92,343.64,0.71,95970,0.73,19.15,342.2
2014,1,6,10,30,20.79,59.44,2.2,95990,2.18,21.03,58.91
2014,1,6,11,30,22.16,344.58,2.88,95970,2.87,22.4,344.52
2014,1,6,12,30,23.34,352.83,2.83,95940,2.82,23.58,352.79
2014,1,6,13,30,24.16,350.18,2.98,95890,2.97,24.39,350.19
2014,1,6,14,30,24.63,346.03,2.64,95800,2.63,24.86,346.03
2014,1,6,15,30,24.76,338.52,2.18,95710,2.18,24.97,338.51
2014,1,6,16,30,24.59,337.52,2.88,95680,2.86,24.78,337.41
2014,1,6,17,30,24.41,325.79,2.87,95730,2.85,24.58,324.87
2014,1,6,18,30,23.54,349.73,4.74,95770,3.97,23.53,347.57
2014,1,6,19,30,21.99,358.9,4.97,95780,3.99,21.86,358
2014,1,6,20,30,20.8,354.14,4.91,95790,3.84,20.59,347.38
2014,1,6,21,30,20.04,2.15,4.26,95810,3.33,19.86,356.35
2014,1,6,22,30,19.62,24.2,3.17,95840,2.27,19.44,14.92
2014,1,6,23,30,19.12,59.97,3.76,95840,2.85,19.06,59.15
2014,1,7,0,30,18.59,78.67,5.73,95870,4.94,18.58,82.2
2014,1,7,1,30,18.47,82.83,7.2,95880,6.46,18.36,85.92
2014,1,7,2,30,18.65,84.74,9.08,95850,8.36,18.51,87.69
2014,1,7,3,30,18.17,88.84,9.95,95830,9.29,18,91.74
2014,1,7,4,30,18.14,90.53,10.06,95820,9.46,17.95,93.44
2014,1,7,5,30,17.48,89.79,8.65,95840,8.06,17.27,93.18
2014,1,7,6,30,16.2,87.34,6.75,95870,6.1,15.99,89.48
2014,1,7,7,30,15.37,84.04,5.78,95920,4.93,15.01,83.52
2014,1,7,8,30,15.86,86.62,2.73,96030,2.62,16.08,85.32
2014,1,7,9,30,18.82,94.24,5.22,96060,5.12,19.05,93.7
2014,1,7,10,30,20.85,97.27,5.85,96060,5.78,21.09,97.03
2014,1,7,11,30,22.92,93.12,4.6,96010,4.55,23.16,92.73
